Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,98%
DELETE,/booking/1033,1,0,835.29930000077,835.29930000077,835.29930000077,835.29930000077,7.0,0.03275269067591297,0.0,840
DELETE,/booking/1034,1,0,836.262099997839,836.262099997839,836.262099997839,836.262099997839,7.0,0.03275269067591297,0.0,840
DELETE,/booking/1035,1,0,820.6892000162043,820.6892000162043,820.6892000162043,820.6892000162043,7.0,0.03275269067591297,0.0,820
DELETE,/booking/1036,1,0,819.4616000109818,819.4616000109818,819.4616000109818,819.4616000109818,7.0,0.03275269067591297,0.0,820
DELETE,/booking/1037,1,0,829.7520999913104,829.7520999913104,829.7520999913104,829.7520999913104,7.0,0.03275269067591297,0.0,830
DELETE,/booking/1038,1,0,841.9798999966588,841.9798999966588,841.9798999966588,841.9798999966588,7.0,0.03275269067591297,0.0,840
DELETE,/booking/1039,1,0,843.4444000013173,843.4444000013173,843.4444000013173,843.4444000013173,7.0,0.03275269067591297,0.0,840
DELETE,/booking/1040,1,0,848.8056999922264,848.8056999922264,848.8056999922264,848.8056999922264,7.0,0.03275269067591297,0.0,850
DELETE,/booking/1041,1,0,871.7937000037637,871.7937000037637,871.7937000037637,871.7937000037637,7.0,0.03275269067591297,0.0,870
DELETE,/booking/1042,1,0,894.9825000017881,894.9825000017881,894.9825000017881,894.9825000017881,7.0,0.03275269067591297,0.0,890
DELETE,/booking/1043,1,0,908.6907000164501,908.6907000164501,908.6907000164501,908.6907000164501,7.0,0.03275269067591297,0.0,910
DELETE,/booking/1044,1,0,860.603799985256,860.603799985256,860.603799985256,860.603799985256,7.0,0.03275269067591297,0.0,860
DELETE,/booking/1045,1,0,892.9761000035796,892.9761000035796,892.9761000035796,892.9761000035796,7.0,0.03275269067591297,0.0,890
DELETE,/booking/1046,1,0,886.8001999799162,886.8001999799162,886.8001999799162,886.8001999799162,7.0,0.03275269067591297,0.0,890
DELETE,/booking/1047,1,0,907.515799975954,907.515799975954,907.515799975954,907.515799975954,7.0,0.03275269067591297,0.0,910
DELETE,/booking/1048,1,0,900.261100003263,900.261100003263,900.261100003263,900.261100003263,7.0,0.03275269067591297,0.0,900
DELETE,/booking/1049,1,0,913.6527000227943,913.6527000227943,913.6527000227943,913.6527000227943,7.0,0.03275269067591297,0.0,910
