Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/booking/3268,1,0,162.78839998994954,162.78839998994954,162.78839998994954,162.78839998994954,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3269,1,0,165.80369998700917,165.80369998700917,165.80369998700917,165.80369998700917,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3270,1,0,165.83250000257976,165.83250000257976,165.83250000257976,165.83250000257976,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3271,1,0,168.67039998760447,168.67039998760447,168.67039998760447,168.67039998760447,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3272,1,0,163.18040000624023,163.18040000624023,163.18040000624023,163.18040000624023,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3273,1,0,163.41239999746904,163.41239999746904,163.41239999746904,163.41239999746904,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3274,1,0,162.50849998323247,162.50849998323247,162.50849998323247,162.50849998323247,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3278,1,0,159.99009998631664,159.99009998631664,159.99009998631664,159.99009998631664,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3279,1,0,164.66459998628125,164.66459998628125,164.66459998628125,164.66459998628125,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3280,1,0,161.09330000472255,161.09330000472255,161.09330000472255,161.09330000472255,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3281,1,0,163.50950000924058,163.50950000924058,163.50950000924058,163.50950000924058,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3282,1,0,168.84790000040084,168.84790000040084,168.84790000040084,168.84790000040084,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3283,1,0,169.6030999883078,169.6030999883078,169.6030999883078,169.6030999883078,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3284,1,0,171.21560001396574,171.21560001396574,171.21560001396574,171.21560001396574,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3285,1,0,165.53889997885562,165.53889997885562,165.53889997885562,165.53889997885562,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3286,1,0,165.32950001419522,165.32950001419522,165.32950001419522,165.32950001419522,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3287,1,0,163.73939998447895,163.73939998447895,163.73939998447895,163.73939998447895,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3292,1,0,160.00670002540573,160.00670002540573,160.00670002540573,160.00670002540573,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
